# Lattice genre authority map (genre_tidy.py)
# Format:  Artist<TAB>Genre<TAB>Second Genre<TAB>...   (tab-separated)
#   - Every genre on the line is ALLOWED for that artist; albums tagged
#     with any of them are left untouched.
#   - The FIRST genre is the fix target: `apply` retags any album whose
#     genre is NOT on the line to that first genre.
#   - `build` lists every genre an artist currently uses, so `apply`
#     changes nothing until you edit. To tidy, REMOVE a stray genre from a
#     line and its albums collapse to the first genre; reorder to retarget.
#   - Leave only the artist (no genres) to skip that artist entirely.
#   - Lines starting with # are comments.

$uicideboy$	Memphis Rap
$uicideboy$ & Pouya	Memphis Rap
070 Shake	Alternative Pop
070 Shake, Ralphy River & Hack & Tree	Alternative Rap
16 Horsepower	Indie Rock
2 Chainz	Trap
21 Savage & Metro Boomin	Trap
21 Savage, Offset & Metro Boomin	Trap
22Gz	Drill
2Pac	G-Funk
38 Spesh	Hardcore Hip Hop
38 Spesh & Benny	Hardcore Hip Hop
50 Cent	Gangsta Rap
50 Cent & DJ Whoo Kid	Gangsta Rap
50 Cent, Whoo Kid & LeBron James	Gangsta Rap
6ix9ine	Soundcloud Rap
6LACK	R&B
A Perfect Circle	Alternative Rock
A Place for Owls	Emo
A Silver Mt. Zion	Post-Rock
A Tribe Called Quest	Jazz Rap
A Wilhelm Scream	Melodic Hardcore
A Winged Victory for the Sullen	Post-Rock
A$AP Ferg	Trap
A$AP Rocky	Trap
Aaron West and The Roaring Twenties	Orgcore
Aaryan Shah	R&B
Abstract Division	Techno
Action Bronson	Boom Bap
Aesop Rock	Abstract Hip Hop
Aesthetic Perfection	Industrial
AFI	Post-Hardcore
AFX	Acid Techno
Against Me!	Orgcore
AgusFortnite2008	Plugg
AgusFortnite2008 & Stiffy	Plugg
Aitch	UK Rap
Al.Divino	Abstract Hip Hop
Alexisonfire	Post-Hardcore
Alice in Chains	Grunge
All That Remains	Metalcore
Ameer Vann	Hardcore Hip Hop
American Football	Emo
American Pleasure Club	Emo
Anberlin	Alternative Rock
Anberlin & Matty Mullins	Alternative Rock
Andrew Jackson Jihad	Folk Punk
Andrew W.K.	Rock
Anti‐Flag	Punk Rock
Apes of the State	Folk Punk
# Aphex Twin: 3 genres: IDM×4, Ambient×2, Drum & Bass×1
Aphex Twin	IDM	Ambient	Drum & Bass
Apollo Brown & Joell Ortiz	Boom Bap
Armand Hammer	Abstract Hip Hop
Armand Hammer & The Alchemist	Abstract Hip Hop
Arvo Pärt	Neoclassical
As I Lay Dying	Metalcore
At the Drive‐In	Post-Hardcore
Atmosphere	Midwest Rap
Autechre	IDM
Author & Punisher	Industrial
Avenged Sevenfold	Metal
Aystar	UK Rap
AZ	Mafioso Rap
B.HOODS	East Coast Rap
Backxwash	Trap Metal
Bad Brains	Hardcore
Bad Bunny	Latin
Bad Meets Evil	Hardcore Hip Hop
Bad Religion	Punk Rock
Banner Pilot	Orgcore
Beanie Sigel	East Coast Rap
Beastie Boys	Old School Hip Hop
Bedwetter	Experimental Hip Hop
Belle & Sebastian	Indie Rock
Belle and Sebastian	Indie Rock
Ben Frost	Ambient
Ben Howard	Indie Folk
Benjamin Tod	Country
Benny the Butcher	Hardcore Hip Hop
Benny x DJ Green Lantern	Hardcore Hip Hop
Big Baby Gandhi	Alternative Rap
Big D and the Kids Table	Punk Rock
Big Gigantic	Glitch Hop
Big L	Boom Bap
Big Pun	Boom Bap
Bill Evans Trio	Jazz
billy woods	Abstract Hip Hop
billy woods & Kenny Segal	Abstract Hip Hop
Birds in Row	Skramz
Black Atlass	R&B
Black Star	Boom Bap
Blacklisted	Hardcore
Bladee	Cloud Rap
Blind Pilot	Indie Folk
blink‐182	Pop Punk
Blu	Jazz Rap
Blu & Exile	Jazz Rap
Boards of Canada	IDM
Bob Marley & The Wailers	Reggae
Bohren & der Club of Gore	Ambient
Boldy James & Conductor Williams	Abstract Hip Hop
